bracket_id,E_left,E_right,user_label,user_zero_estimate,comment
1,2.68148742437121834e-01,2.68153587679383965e-01,,,
2,2.75455367768388415e-01,2.75460213010650545e-01,,,
3,2.75532891644582223e-01,2.75537736886844353e-01,,,
4,2.78091179558977941e-01,2.78096024801240072e-01,,,
5,2.86240877043852204e-01,2.86245722286114279e-01,,,
6,2.86618805940297039e-01,2.86623651182559114e-01,,,
7,2.86899829991499544e-01,2.86904675233761675e-01,,,
8,2.89453272663633188e-01,2.89458117905895318e-01,,,
9,2.99177673883694206e-01,2.99182519125956281e-01,,,
10,3.06649037451872608e-01,3.06653882694134683e-01,,,
11,3.19106155307765371e-01,3.19111000550027502e-01,,,
12,3.20370763538176895e-01,3.20375608780439025e-01,,,
13,3.20869823491174544e-01,3.20874668733436674e-01,,,
14,3.26083304165208254e-01,3.26088149407470385e-01,,,
15,3.27435126756337791e-01,3.27439971998599921e-01,,,
16,3.27469043452172592e-01,3.27473888694434723e-01,,,
17,3.29993414670733509e-01,3.29998259912995640e-01,,,
18,3.30976998849942472e-01,3.30981844092204602e-01,,,
19,3.33239726986349294e-01,3.33244572228611424e-01,,,
20,3.34048882444122230e-01,3.34053727686384305e-01,,,
21,3.34203930196509846e-01,3.34208775438771921e-01,,,
22,3.39301125056252817e-01,3.39305970298514947e-01,,,
23,3.40023066153307685e-01,3.40027911395569760e-01,,,
24,3.40420376018800930e-01,3.40425221261063060e-01,,,
25,3.41767353367668392e-01,3.41772198609930467e-01,,,
26,3.46782179108955424e-01,3.46787024351217554e-01,,,
27,3.47974108705435270e-01,3.47978953947697400e-01,,,
28,3.49393764688234409e-01,3.49398609930496540e-01,,,
29,3.50886099304965227e-01,3.50890944547227357e-01,,,
30,3.52615850792539598e-01,3.52620696034801728e-01,,,
31,3.53415315765788274e-01,3.53420161008050404e-01,,,
32,3.53458922946147280e-01,3.53463768188409411e-01,,,
33,3.54655697784889257e-01,3.54660543027151332e-01,,,
34,3.55082079103955173e-01,3.55086924346217303e-01,,,
35,3.55741032051602568e-01,3.55745877293864698e-01,,,
