bracket_id,segment_id,row_left,row_right,E_left,E_right,gap,det_left,det_right,E_zero_linear,sign_left,sign_right,Nfull,Nproj
1,Nfull50_Nproj14,1448,1449,2.70115910795539760e-01,2.70120756037801890e-01,4.8452422621303448e-06,3.88462575348424622e-26,-1.48775521879395264e-24,0.27011603408870544,1,-1,50,14
2,Nfull50_Nproj14,2115,2116,2.73347687384369209e-01,2.73352532626631339e-01,4.8452422621303448e-06,-1.63242141859074388e-27,1.18350503691381447e-27,0.27335049622095353,-1,1,50,14
3,Nfull51_Nproj15,3350,3351,2.79331561578078924e-01,2.79336406820340999e-01,4.8452422620748337e-06,5.30634580504645695e-33,-5.03250427676008320e-33,0.27933404836633374,1,-1,51,15
4,Nfull51_Nproj15,3630,3631,2.80688229411470591e-01,2.80693074653732666e-01,4.8452422620748337e-06,-1.23761284555227609e-34,8.72102714777474051e-35,0.28069107175390579,-1,1,51,15
5,Nfull52_Nproj16,4675,4676,2.85751507575378760e-01,2.85756352817640891e-01,4.8452422621303448e-06,2.79765828724701263e-41,-1.21383980346590455e-40,0.28575241513302824,1,-1,52,16
6,Nfull56_Nproj17,5794,5795,2.91173333666683354e-01,2.91178178908945429e-01,4.8452422620748337e-06,-1.65855217976605345e-43,7.83775969634323588e-43,0.29117417989911759,-1,1,56,17
7,Nfull56_Nproj17,5872,5873,2.91551262563128133e-01,2.91556107805390263e-01,4.8452422621303448e-06,4.00446509599430396e-48,-6.56154881187428551e-51,0.29155609987916675,1,-1,56,17
8,Nfull60_Nproj18,7706,7707,3.00437436871843599e-01,3.00442282114105730e-01,4.8452422621303448e-06,-3.80296644818826046e-56,7.34775297537885159e-57,0.30044149754668775,-1,1,60,18
9,Nfull68_Nproj22,11048,11049,3.16630236511825591e-01,3.16635081754087722e-01,4.8452422621303448e-06,3.72447819408461100e-44,-1.97433543780765067e-45,0.3166348378390243,1,-1,68,22
10,Nfull100_Nproj28,12760,12761,3.24925291264563210e-01,3.24930136506825340e-01,4.8452422621303448e-06,-2.87720156098693773e-55,1.39521521178192766e-54,0.32492611962308882,-1,1,100,28
11,Nfull100_Nproj28,13589,13590,3.28941997099854999e-01,3.28946842342117129e-01,4.8452422621303448e-06,5.66188632990236087e-59,-5.28101454618395230e-58,0.32894246626793566,1,-1,100,28
12,Nfull100_Nproj28,14457,14458,3.33147667383369150e-01,3.33152512625631281e-01,4.8452422621303448e-06,-1.16249681605537558e-60,1.50802571583568334e-61,0.33315195625973332,-1,1,100,28
13,Nfull100_Nproj28,14707,14708,3.34358977948897462e-01,3.34363823191159537e-01,4.8452422620748337e-06,1.77297524791483152e-60,-7.39473892311453844e-62,0.33436362919656104,1,-1,100,28
14,Nfull104_Nproj29,15186,15187,3.36679848992449626e-01,3.36684694234711701e-01,4.8452422620748337e-06,-6.53970937877628621e-58,2.57817813625171590e-61,0.33668469232530346,-1,1,104,29
15,Nfull104_Nproj29,15236,15237,3.36922111105555255e-01,3.36926956347817386e-01,4.8452422621303448e-06,1.35624303129878505e-61,-1.86600282267989466e-60,0.33692243940476585,1,-1,104,29
16,Nfull104_Nproj29,15706,15707,3.39199374968748413e-01,3.39204220211010543e-01,4.8452422621303448e-06,-4.94627240469429326e-64,1.72047084604236028e-63,0.33920045690224115,-1,1,104,29
17,Nfull104_Nproj29,15793,15794,3.39620911045552254e-01,3.39625756287814384e-01,4.8452422621303448e-06,2.57171994081626853e-64,-6.94792108728002152e-64,0.33962221998210845,1,-1,104,29
18,Nfull108_Nproj30,15989,15990,3.40570578528926471e-01,3.40575423771188546e-01,4.8452422620748337e-06,-3.73734823390150156e-64,2.80863975454547233e-63,0.34057114754923401,-1,1,108,30
19,Nfull108_Nproj30,16360,16361,3.42368163408170390e-01,3.42373008650432520e-01,4.8452422621303448e-06,1.07510008883962500e-68,-4.83747205390773197e-69,0.34237150505709635,1,-1,108,30
20,Nfull108_Nproj30,17288,17289,3.46864548227411362e-01,3.46869393469673493e-01,4.8452422621303448e-06,-2.95986019479873847e-74,1.12554257741278580e-74,0.34686805858869163,-1,1,108,30
21,Nfull108_Nproj30,17477,17478,3.47780299014950722e-01,3.47785144257212853e-01,4.8452422621303448e-06,1.36244464162754076e-75,-2.33280765214813236e-75,0.34778208546248734,1,-1,108,30
22,Nfull108_Nproj30,18080,18081,3.50701980099004940e-01,3.50706825341267070e-01,4.8452422621303448e-06,-7.33518962881715558e-80,4.25968177891661412e-80,0.35070504531374863,-1,1,108,30
23,Nfull108_Nproj30,18881,18882,3.54583019150957524e-01,3.54587864393219654e-01,4.8452422621303448e-06,3.03180835660664294e-80,-2.14605836880991752e-81,0.3545875440960522,1,-1,108,30
24,Nfull108_Nproj30,19352,19353,3.56865128256412811e-01,3.56869973498674942e-01,4.8452422621303448e-06,-4.61568487810027052e-81,2.93553110159378557e-81,0.35686808991338304,-1,1,108,30
25,Nfull108_Nproj30,19464,19465,3.57407795389769467e-01,3.57412640632031597e-01,4.8452422621303448e-06,1.55808153575941073e-80,-8.45228505171068277e-82,0.35741239131229835,1,-1,108,30
