bracket_id,segment_id,row_left,row_right,E_left,E_right,gap,det_left,det_right,E_zero_linear,sign_left,sign_right,Nfull,Nproj
1,Nfull40_Nproj14,5269,5270,2.88629581479073971e-01,2.88634426721336046e-01,4.8452422620748337e-06,6.09740617425631094e-31,-2.04976011988269717e-31,0.28863320769818107,1,-1,40,14
2,Nfull43_Nproj15,6551,6552,2.94841182059102924e-01,2.94846027301365055e-01,4.8452422621303448e-06,-5.45906095935486857e-31,3.09458432725006370e-30,0.29484190862255449,-1,1,43,15
3,Nfull43_Nproj15,7386,7387,2.98886959347967385e-01,2.98891804590229515e-01,4.8452422621303448e-06,1.01282205058959680e-30,-5.88300498645391924e-30,0.29888767099113611,1,-1,43,15
4,Nfull46_Nproj16,8151,8152,3.02593569678483942e-01,3.02598414920746017e-01,4.8452422620748337e-06,-3.24688978922611484e-29,1.40940279639390509e-29,0.30259694832519435,-1,1,46,16
5,Nfull46_Nproj16,8962,8963,3.06523061153057663e-01,3.06527906395319738e-01,4.8452422620748337e-06,1.14007864419845944e-34,-4.61215654904626883e-34,0.30652402146796887,1,-1,46,16
6,Nfull52_Nproj17,9541,9542,3.09328456422821141e-01,3.09333301665083271e-01,4.8452422621303448e-06,-1.94904117212103101e-33,3.39192567345782035e-33,0.3093302245627349,-1,1,52,17
7,Nfull52_Nproj17,10540,10541,3.14168853442672147e-01,3.14173698684934222e-01,4.8452422620748337e-06,3.69144982171049158e-43,-1.38393321288419518e-43,0.31417237750549903,1,-1,52,17
8,Nfull58_Nproj18,10752,10753,3.15196044802240116e-01,3.15200890044502247e-01,4.8452422621303448e-06,-3.08140219823488306e-39,1.03474726778823211e-39,0.31519967201264165,-1,1,58,18
9,Nfull58_Nproj18,11152,11153,3.17134141707085371e-01,3.17138986949347446e-01,4.8452422620748337e-06,1.36109373473107376e-41,-6.71107501021304706e-42,0.31713738687236237,1,-1,58,18
10,Nfull58_Nproj18,11406,11407,3.18364833241662093e-01,3.18369678483924168e-01,4.8452422620748337e-06,-5.67214697313627973e-43,1.11091130301900802e-42,0.3183664709569603,-1,1,58,18
11,Nfull61_Nproj19,11624,11625,3.19421096054802733e-01,3.19425941297064864e-01,4.8452422621303448e-06,2.44259741988001492e-47,-1.33459394938336879e-46,0.31942184564777087,1,-1,61,19
