bracket_id,segment_id,row_left,row_right,E_left,E_right,gap,det_left,det_right,E_zero_linear,sign_left,sign_right,Nfull,Nproj
1,Nfull43_Nproj15,1042,1043,2.68148742437121834e-01,2.68153587679383965e-01,4.8452422621303448e-06,-6.25230681829638979e-37,3.23940478996904385e-37,0.26815193405760951,-1,1,43,15
2,Nfull43_Nproj15,2550,2551,2.75455367768388415e-01,2.75460213010650545e-01,4.8452422621303448e-06,3.02889811023932720e-37,-4.37290926946528684e-37,0.2754573504929283,1,-1,43,15
3,Nfull43_Nproj15,2566,2567,2.75532891644582223e-01,2.75537736886844353e-01,4.8452422621303448e-06,-3.29755371079519358e-37,3.77687173296351318e-37,0.27553515012433133,-1,1,43,15
4,Nfull43_Nproj15,3094,3095,2.78091179558977941e-01,2.78096024801240072e-01,4.8452422621303448e-06,1.80549238765369572e-39,-9.38090617211327764e-40,0.2780943681076769,1,-1,43,15
5,Nfull47_Nproj16,4776,4777,2.86240877043852204e-01,2.86245722286114279e-01,4.8452422620748337e-06,-1.61563734046419418e-48,6.40196322631199160e-49,0.28624434722627312,-1,1,47,16
6,Nfull47_Nproj16,4854,4855,2.86618805940297039e-01,2.86623651182559114e-01,4.8452422620748337e-06,1.14151623450993624e-43,-3.37912787266023875e-44,0.28662254449254987,1,-1,47,16
7,Nfull47_Nproj16,4912,4913,2.86899829991499544e-01,2.86904675233761675e-01,4.8452422621303448e-06,-9.08871838621147183e-44,6.64210172829317335e-44,0.2869026294032348,-1,1,47,16
8,Nfull63_Nproj19,5439,5440,2.89453272663633188e-01,2.89458117905895318e-01,4.8452422621303448e-06,1.74233890233172347e-33,-5.13991589012266401e-34,0.28945701416077507,1,-1,63,19
9,Nfull79_Nproj22,7446,7447,2.99177673883694206e-01,2.99182519125956281e-01,4.8452422620748337e-06,-2.54087221749767060e-52,1.73211296680620555e-51,0.29917829371756199,-1,1,79,22
10,Nfull79_Nproj22,8988,8989,3.06649037451872608e-01,3.06653882694134683e-01,4.8452422620748337e-06,9.76105455863925529e-53,-3.62358569489774285e-53,0.30665257095543896,1,-1,79,22
11,Nfull99_Nproj26,11559,11560,3.19106155307765371e-01,3.19111000550027502e-01,4.8452422621303448e-06,-1.22338660742583560e-56,1.38492906108360679e-55,0.31910654857595572,-1,1,99,26
12,Nfull99_Nproj26,11820,11821,3.20370763538176895e-01,3.20375608780439025e-01,4.8452422621303448e-06,2.89797853625034007e-57,-3.45071872129714144e-57,0.32037297523728758,1,-1,99,26
13,Nfull99_Nproj26,11923,11924,3.20869823491174544e-01,3.20874668733436674e-01,4.8452422621303448e-06,-2.27998599349181794e-57,4.74952302895871111e-58,0.32087383341201642,-1,1,99,26
14,Nfull103_Nproj27,12999,13000,3.26083304165208254e-01,3.26088149407470385e-01,4.8452422621303448e-06,2.29093207158577791e-62,-1.92602858386551730e-63,0.32608777364971558,1,-1,103,27
15,Nfull103_Nproj27,13278,13279,3.27435126756337791e-01,3.27439971998599921e-01,4.8452422621303448e-06,-1.19679940436240260e-60,2.06094443180749756e-61,0.32743926020026404,-1,1,103,27
16,Nfull103_Nproj27,13285,13286,3.27469043452172592e-01,3.27473888694434723e-01,4.8452422621303448e-06,5.13199790127926290e-61,-2.08911906593235961e-61,0.32747248693234793,1,-1,103,27
17,Nfull103_Nproj27,13806,13807,3.29993414670733509e-01,3.29998259912995640e-01,4.8452422621303448e-06,-8.21407426459306697e-64,2.14995866827821044e-63,0.32999475409436901,-1,1,103,27
18,Nfull104_Nproj28,14009,14010,3.30976998849942472e-01,3.30981844092204602e-01,4.8452422621303448e-06,5.64543103363688977e-66,-1.76305993399183113e-68,0.33098182900769191,1,-1,104,28
19,Nfull104_Nproj28,14476,14477,3.33239726986349294e-01,3.33244572228611424e-01,4.8452422621303448e-06,-2.11449727926871326e-62,1.52165049840225003e-62,0.33324254459779062,-1,1,104,28
20,Nfull104_Nproj28,14643,14644,3.34048882444122230e-01,3.34053727686384305e-01,4.8452422620748337e-06,3.61943896260043841e-61,-1.71308298401996499e-62,0.33405350872422457,1,-1,104,28
