row_index,Ecm,Nproj,det_grid_real,det_grid_imag,local_det_real,local_det_imag,gpu_det_real,gpu_det_imag,abs_cpu_assembled_diff,abs_gpu_assembled_diff,sign_grid,sign_local,sign_gpu
0,2.63100000000000001e-01,11,1.73235718808972642e-18,0.00000000000000000e+00,1.73235718808972642e-18,0.00000000000000000e+00,1.73235718808972623e-18,-0.00000000000000000e+00,0.00000000000000000e+00,1.92592994438723585e-34,1,1,1
1,2.63104845242262131e-01,11,1.65421540494614742e-18,0.00000000000000000e+00,1.65421540494614742e-18,0.00000000000000000e+00,1.65421540494617977e-18,-0.00000000000000000e+00,0.00000000000000000e+00,3.23556230657055623e-32,1,1,1
2,2.63109690484524206e-01,11,1.57981432476086841e-18,0.00000000000000000e+00,1.57981432476086841e-18,0.00000000000000000e+00,1.57981432476087265e-18,-0.00000000000000000e+00,0.00000000000000000e+00,4.23704587765191888e-33,1,1,1
3,2.63114535726786336e-01,11,1.50896495799315985e-18,0.00000000000000000e+00,1.50896495799315985e-18,0.00000000000000000e+00,1.50896495799315195e-18,-0.00000000000000000e+00,0.00000000000000000e+00,7.89631277198766700e-33,1,1,1
4,2.63119380969048466e-01,11,1.44148834704643080e-18,0.00000000000000000e+00,1.44148834704643080e-18,0.00000000000000000e+00,1.44148834704642675e-18,-0.00000000000000000e+00,0.00000000000000000e+00,4.04445288321319529e-33,1,1,1
5,2.63124226211310541e-01,11,1.37721500886152711e-18,0.00000000000000000e+00,1.37721500886152711e-18,0.00000000000000000e+00,1.37721500886153077e-18,-0.00000000000000000e+00,0.00000000000000000e+00,3.65926689433574812e-33,1,1,1
6,2.63129071453572672e-01,11,1.31598440981659377e-18,0.00000000000000000e+00,1.31598440981659377e-18,0.00000000000000000e+00,1.31598440981657605e-18,-0.00000000000000000e+00,0.00000000000000000e+00,1.77185554883625698e-32,1,1,1
7,2.63133916695834802e-01,11,1.25764447101278969e-18,0.00000000000000000e+00,1.25764447101278969e-18,0.00000000000000000e+00,1.25764447101278391e-18,-0.00000000000000000e+00,0.00000000000000000e+00,5.77778983316170756e-33,1,1,1
8,2.63138761938096932e-01,11,1.20205110208387586e-18,0.00000000000000000e+00,1.20205110208387586e-18,0.00000000000000000e+00,1.20205110208387913e-18,-0.00000000000000000e+00,0.00000000000000000e+00,3.27408090545830095e-33,1,1,1
9,2.63143607180359007e-01,11,1.14906776183809921e-18,0.00000000000000000e+00,1.14906776183809921e-18,0.00000000000000000e+00,1.14906776183810152e-18,-0.00000000000000000e+00,0.00000000000000000e+00,2.31111593326468302e-33,1,1,1
10,2.63148452422621137e-01,11,1.09856504412010182e-18,0.00000000000000000e+00,1.09856504412010182e-18,0.00000000000000000e+00,1.09856504412010278e-18,-0.00000000000000000e+00,0.00000000000000000e+00,9.62964972193617927e-34,1,1,1
11,2.63153297664883268e-01,11,1.05042028738431257e-18,0.00000000000000000e+00,1.05042028738431257e-18,0.00000000000000000e+00,1.05042028738430930e-18,-0.00000000000000000e+00,0.00000000000000000e+00,3.27408090545830095e-33,1,1,1
12,2.63158142907145343e-01,11,1.00451720656897588e-18,0.00000000000000000e+00,1.00451720656897588e-18,0.00000000000000000e+00,1.00451720656897184e-18,-0.00000000000000000e+00,0.00000000000000000e+00,4.04445288321319529e-33,1,1,1
13,2.63162988149407473e-01,11,9.60745545941364537e-19,0.00000000000000000e+00,9.60745545941364537e-19,0.00000000000000000e+00,9.60745545941349707e-19,-0.00000000000000000e+00,0.00000000000000000e+00,1.48296605717817161e-32,1,1,1
14,2.63167833391669603e-01,11,9.19000751677426724e-19,0.00000000000000000e+00,9.19000751677426724e-19,0.00000000000000000e+00,9.19000751677428842e-19,-0.00000000000000000e+00,0.00000000000000000e+00,2.11852293882595944e-33,1,1,1
15,2.63172678633931678e-01,11,8.79183663002470474e-19,0.00000000000000000e+00,8.79183663002470474e-19,0.00000000000000000e+00,8.79183663002469896e-19,-0.00000000000000000e+00,0.00000000000000000e+00,5.77778983316170756e-34,1,1,1
16,2.63177523876193808e-01,11,8.41200220791440423e-19,0.00000000000000000e+00,8.41200220791440423e-19,0.00000000000000000e+00,8.41200220791453615e-19,-0.00000000000000000e+00,0.00000000000000000e+00,1.31926201190525656e-32,1,1,1
17,2.63182369118455939e-01,11,8.04961192622449538e-19,0.00000000000000000e+00,8.04961192622449538e-19,0.00000000000000000e+00,8.04961192622440582e-19,-0.00000000000000000e+00,0.00000000000000000e+00,8.95557424140064672e-33,1,1,1
18,2.63187214360718014e-01,11,7.70381913290628436e-19,0.00000000000000000e+00,7.70381913290628436e-19,0.00000000000000000e+00,7.70381913290628340e-19,-0.00000000000000000e+00,0.00000000000000000e+00,9.62964972193617927e-35,1,1,1
19,2.63192059602980144e-01,11,7.37382039891522842e-19,0.00000000000000000e+00,7.37382039891522842e-19,0.00000000000000000e+00,7.37382039891519279e-19,-0.00000000000000000e+00,0.00000000000000000e+00,3.56297039711638633e-33,1,1,1
451,2.65285204260213014e-01,11,8.29699850271949134e-24,0.00000000000000000e+00,8.29699850271949134e-24,0.00000000000000000e+00,8.29699850271949428e-24,-0.00000000000000000e+00,0.00000000000000000e+00,2.93873587705571877e-39,1,1,1
452,2.65290049502475145e-01,11,8.17087718697191884e-24,0.00000000000000000e+00,8.17087718697191884e-24,0.00000000000000000e+00,8.17087718697201141e-24,-0.00000000000000000e+00,0.00000000000000000e+00,9.25701801272551413e-38,1,1,1
453,2.65294894744737220e-01,11,8.04693789267304813e-24,0.00000000000000000e+00,8.04693789267304813e-24,0.00000000000000000e+00,8.04693789267307458e-24,-0.00000000000000000e+00,0.00000000000000000e+00,2.64486228935014689e-38,1,1,1
454,2.65299739986999350e-01,11,7.92513881339346670e-24,0.00000000000000000e+00,7.92513881339346670e-24,0.00000000000000000e+00,7.92513881339346964e-24,-0.00000000000000000e+00,0.00000000000000000e+00,2.93873587705571877e-39,1,1,1
455,2.65304585229261480e-01,11,7.80543901584189051e-24,0.00000000000000000e+00,7.80543901584189051e-24,0.00000000000000000e+00,7.80543901584199484e-24,-0.00000000000000000e+00,0.00000000000000000e+00,1.04325123635478016e-37,1,1,1
456,2.65309430471523555e-01,11,7.68779842020424219e-24,0.00000000000000000e+00,7.68779842020424219e-24,0.00000000000000000e+00,7.68779842020423631e-24,-0.00000000000000000e+00,0.00000000000000000e+00,5.87747175411143754e-39,1,1,1
457,2.65314275713785686e-01,11,7.57217778095102122e-24,0.00000000000000000e+00,7.57217778095102122e-24,0.00000000000000000e+00,7.57217778095109321e-24,-0.00000000000000000e+00,0.00000000000000000e+00,7.19990289878651099e-38,1,1,1
458,2.65319120956047816e-01,11,7.45853866812315617e-24,0.00000000000000000e+00,7.45853866812315617e-24,0.00000000000000000e+00,7.45853866812315323e-24,-0.00000000000000000e+00,0.00000000000000000e+00,2.93873587705571877e-39,1,1,1
459,2.65323966198309891e-01,11,7.34684344903806970e-24,0.00000000000000000e+00,7.34684344903806970e-24,0.00000000000000000e+00,7.34684344903809321e-24,-0.00000000000000000e+00,0.00000000000000000e+00,2.35098870164457502e-38,1,1,1
460,2.65328811440572021e-01,11,7.23705527045850927e-24,0.00000000000000000e+00,7.23705527045850927e-24,0.00000000000000000e+00,7.23705527045840641e-24,-0.00000000000000000e+00,0.00000000000000000e+00,1.02855755696950157e-37,1,1,1
461,2.65333656682834151e-01,14,2.13459373067922774e-08,0.00000000000000000e+00,2.13459373067922774e-08,0.00000000000000000e+00,2.13459373037626622e-08,0.00000000000000000e+00,0.00000000000000000e+00,3.02961516792446810e-18,1,1,1
462,2.65338501925096282e-01,14,1.79038050340379165e-08,0.00000000000000000e+00,1.79038050340379165e-08,0.00000000000000000e+00,1.79038050459299812e-08,0.00000000000000000e+00,0.00000000000000000e+00,1.18920646467645589e-17,1,1,1
463,2.65343347167358357e-01,14,1.50312921169507435e-08,0.00000000000000000e+00,1.50312921169507435e-08,0.00000000000000000e+00,1.50312921197985013e-08,0.00000000000000000e+00,0.00000000000000000e+00,2.84775785589345986e-18,1,1,1
464,2.65348192409620487e-01,14,1.26317809470602703e-08,0.00000000000000000e+00,1.26317809470602703e-08,0.00000000000000000e+00,1.26317809543013002e-08,0.00000000000000000e+00,0.00000000000000000e+00,7.24102989444834727e-18,1,1,1
465,2.65353037651882617e-01,14,1.06254327370996889e-08,0.00000000000000000e+00,1.06254327370996889e-08,0.00000000000000000e+00,1.06254327347876711e-08,0.00000000000000000e+00,0.00000000000000000e+00,2.31201778856124043e-18,1,1,1
466,2.65357882894144692e-01,14,8.94620715354989542e-09,0.00000000000000000e+00,8.94620715354989542e-09,0.00000000000000000e+00,8.94620715230491415e-09,0.00000000000000000e+00,0.00000000000000000e+00,1.24498126814743642e-18,1,1,1
467,2.65362728136406822e-01,14,7.53942299408025685e-09,0.00000000000000000e+00,7.53942299408025685e-09,0.00000000000000000e+00,7.53942299401745399e-09,0.00000000000000000e+00,0.00000000000000000e+00,6.28028608274760732e-20,1,1,1
468,2.65367573378668953e-01,14,6.35975958302381514e-09,0.00000000000000000e+00,6.35975958302381514e-09,0.00000000000000000e+00,6.35975958024284881e-09,0.00000000000000000e+00,0.00000000000000000e+00,2.78096633015225309e-18,1,1,1
469,2.65372418620931028e-01,14,5.36961746138548179e-09,0.00000000000000000e+00,5.36961746138548179e-09,0.00000000000000000e+00,5.36961745849681407e-09,0.00000000000000000e+00,0.00000000000000000e+00,2.88866772744849495e-18,1,1,1
470,2.65377263863193158e-01,14,4.53777256334960664e-09,0.00000000000000000e+00,4.53777256334960664e-09,0.00000000000000000e+00,4.53777256314537244e-09,0.00000000000000000e+00,0.00000000000000000e+00,2.04234201961792745e-19,1,1,1
471,2.65382109105455288e-01,14,3.83827015812493304e-09,0.00000000000000000e+00,3.83827015812493304e-09,0.00000000000000000e+00,3.83827015644711711e-09,0.00000000000000000e+00,0.00000000000000000e+00,1.67781593137499645e-18,1,1,1
1439,2.70072303615180753e-01,14,4.22464959064745668e-27,0.00000000000000000e+00,4.22464959064745668e-27,0.00000000000000000e+00,4.22464959064745739e-27,0.00000000000000000e+00,0.00000000000000000e+00,7.17464813734306340e-43,1,1,1
1440,2.70077148857442884e-01,14,4.63946110669040911e-27,0.00000000000000000e+00,4.63946110669040911e-27,0.00000000000000000e+00,4.63946110669038687e-27,0.00000000000000000e+00,0.00000000000000000e+00,2.22414092257634965e-41,1,1,1
1441,2.70081994099704958e-01,14,5.15918701706749880e-27,0.00000000000000000e+00,5.15918701706749880e-27,0.00000000000000000e+00,5.15918701706761073e-27,0.00000000000000000e+00,0.00000000000000000e+00,1.11924510942551789e-40,1,1,1
1442,2.70086839341967089e-01,14,5.82893691880857690e-27,0.00000000000000000e+00,5.82893691880857690e-27,0.00000000000000000e+00,5.82893691880857475e-27,0.00000000000000000e+00,0.00000000000000000e+00,2.15239444120291902e-42,1,1,1
1443,2.70091684584229219e-01,14,6.72402041327122324e-27,0.00000000000000000e+00,6.72402041327122324e-27,0.00000000000000000e+00,6.72402041327137104e-27,0.00000000000000000e+00,0.00000000000000000e+00,1.47797751629267106e-40,1,1,1
1444,2.70096529826491349e-01,14,7.98029981771229079e-27,0.00000000000000000e+00,7.98029981771229079e-27,0.00000000000000000e+00,7.98029981771232954e-27,0.00000000000000000e+00,0.00000000000000000e+00,3.87430999416525424e-41,1,1,1
1445,2.70101375068753424e-01,14,9.87036009610945480e-27,0.00000000000000000e+00,9.87036009610945480e-27,0.00000000000000000e+00,9.87036009610928404e-27,0.00000000000000000e+00,0.00000000000000000e+00,1.70756625668764909e-40,1,1,1
1446,2.70106220311015555e-01,14,1.30333069049301915e-26,0.00000000000000000e+00,1.30333069049301915e-26,0.00000000000000000e+00,1.30333069049303665e-26,0.00000000000000000e+00,0.00000000000000000e+00,1.75061414551170747e-40,1,1,1
1447,2.70111065553277685e-01,14,1.94027406494817934e-26,0.00000000000000000e+00,1.94027406494817934e-26,0.00000000000000000e+00,1.94027406494820718e-26,0.00000000000000000e+00,0.00000000000000000e+00,2.78376347728910860e-40,1,1,1
1448,2.70115910795539760e-01,14,3.88462575348424622e-26,0.00000000000000000e+00,3.88462575348424622e-26,0.00000000000000000e+00,3.88462575348424048e-26,0.00000000000000000e+00,0.00000000000000000e+00,5.73971850987445072e-41,1,1,1
1449,2.70120756037801890e-01,14,-1.48775521879395264e-24,0.00000000000000000e+00,-1.48775521879395264e-24,0.00000000000000000e+00,-1.48775521879394786e-24,0.00000000000000000e+00,0.00000000000000000e+00,4.77544580021554300e-39,-1,-1,-1
1450,2.70125601280064020e-01,14,-3.60831316963837570e-26,0.00000000000000000e+00,-3.60831316963837570e-26,0.00000000000000000e+00,-3.60831316963836422e-26,0.00000000000000000e+00,0.00000000000000000e+00,1.14794370197489014e-40,-1,-1,-1
1451,2.70130446522326095e-01,14,-1.80533543968955705e-26,0.00000000000000000e+00,-1.80533543968955705e-26,0.00000000000000000e+00,-1.80533543968953323e-26,0.00000000000000000e+00,0.00000000000000000e+00,2.38198318159789705e-40,-1,-1,-1
1452,2.70135291764588226e-01,14,-1.19454352104890325e-26,0.00000000000000000e+00,-1.19454352104890325e-26,0.00000000000000000e+00,-1.19454352104892621e-26,0.00000000000000000e+00,0.00000000000000000e+00,2.29588740394978029e-40,-1,-1,-1
1453,2.70140137006850356e-01,14,-8.87384011829811137e-27,0.00000000000000000e+00,-8.87384011829811137e-27,0.00000000000000000e+00,-8.87384011829808985e-27,0.00000000000000000e+00,0.00000000000000000e+00,2.15239444120291902e-41,-1,-1,-1
