row_index,Ecm,Nproj,det_grid_real,det_grid_imag,local_det_real,local_det_imag,sign_grid,sign_local,in_original_bracket,in_hot_window,dimension_jump_flag
1034,0.26810998049902496,5,2.9366424268645976e-19,-0,2.9366424268645967e-19,-0,1,1,false,false,false
1035,0.26811482574128709,5,2.9258675760209375e-19,-0,2.9258675760209361e-19,-0,1,1,false,false,false
1036,0.26811967098354916,5,2.9150829288025943e-19,-0,2.9150829288025938e-19,-0,1,1,false,false,false
1037,0.26812451622581129,5,2.9042885163525036e-19,-0,2.9042885163525036e-19,-0,1,1,false,false,false
1038,0.26812936146807342,5,2.8934843697116387e-19,-0,2.8934843697116382e-19,-0,1,1,false,false,false
1039,0.2681342067103355,5,2.8826705198189548e-19,-0,2.8826705198189538e-19,-0,1,1,false,false,false
1040,0.26813905195259763,5,2.8718469975110862e-19,-0,2.8718469975110858e-19,-0,1,1,false,false,false
1041,0.26814389719485976,5,2.8610138335235981e-19,-0,2.8610138335235981e-19,-0,1,1,false,false,false
1042,0.26814874243712183,5,2.8501710584904851e-19,-0,2.8501710584904865e-19,-0,1,1,false,false,false
1043,0.26815358767938396,5,2.839318702944416e-19,-0,2.8393187029444145e-19,-0,1,1,false,false,false
1044,0.26815843292164609,5,2.8284567973173378e-19,-0,2.814837582242241e-19,-0,1,1,false,false,false
1045,0.26816327816390817,5,2.8175853719407558e-19,-0,2.7954035600773466e-19,-0,1,1,false,false,false
1046,0.2681681234061703,5,2.806704457045117e-19,-0,2.7845968765955818e-19,-0,1,1,false,false,false
1047,0.26817296864843243,5,2.7958140827612521e-19,-0,2.7737808277985991e-19,-0,1,1,false,false,false
1048,0.26817781389069456,5,2.7849142791197737e-19,-0,2.7629554434697867e-19,-0,1,1,false,false,false
1049,0.26818265913295664,5,2.774005076051675e-19,-0,2.752120753293418e-19,-0,1,1,false,false,false
1050,0.26818750437521877,5,2.7630865033881885e-19,-0,2.7412767868545016e-19,-0,1,1,false,false,false
1051,0.2681923496174809,5,2.7521585908615083e-19,-0,2.7304235736395263e-19,-0,1,1,false,false,false
