file,parameter,value,expected_value,status,used_by_current_pipeline,action_needed
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,xi,3.444,3.444,PASS,no,none
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,atmK,0.09698,0.09698,PASS,no,none
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,atmpi,0.06906,0.06906,PASS,no,none
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,eta_1,1.0,1.0,PASS,no,none
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,eta_2,0.5,0.5,PASS,no,none
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,alpha,0.5,0.5,PASS,no,none
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,epsilon_h,0.0,0.0,PASS,no,none
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,max_shell_num,20.0,20,PASS,no,none
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,tolerance,1.0e-12,1e-12,PASS,no,none
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,parity,-1,-1,PASS,no,none
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,eig_tol,0.05,0.05,PASS,no,none
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,norm_tol,1.0e-12,1e-12,PASS,no,none
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,proj_tol,1.0e-10,1e-10,PASS,no,none
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,waves_vec_1,"0,1",0 1,FAIL,no,leave archival/test config unchanged
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,waves_vec_2,0,0,PASS,no,none
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,scatter1_00,<missing>,4.04,FAIL,no,leave archival/test config unchanged
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,scatter1_10,<missing>,-43.2,FAIL,no,leave archival/test config unchanged
configs/config_v31z_projected_F3inv_zero_110A2_L24.in,scatter2_00,<missing>,4.12,FAIL,no,leave archival/test config unchanged
configs/config_v31ze_projected_F3inv_M1M2_L4.in,xi,1.0,3.444,FAIL,no,leave archival/test config unchanged
configs/config_v31ze_projected_F3inv_M1M2_L4.in,atmK,1.0,0.09698,FAIL,no,leave archival/test config unchanged
configs/config_v31ze_projected_F3inv_M1M2_L4.in,atmpi,0.9,0.06906,FAIL,no,leave archival/test config unchanged
configs/config_v31ze_projected_F3inv_M1M2_L4.in,eta_1,1.0,1.0,PASS,no,none
configs/config_v31ze_projected_F3inv_M1M2_L4.in,eta_2,0.5,0.5,PASS,no,none
configs/config_v31ze_projected_F3inv_M1M2_L4.in,alpha,0.5,0.5,PASS,no,none
configs/config_v31ze_projected_F3inv_M1M2_L4.in,epsilon_h,0.0,0.0,PASS,no,none
configs/config_v31ze_projected_F3inv_M1M2_L4.in,max_shell_num,20.0,20,PASS,no,none
configs/config_v31ze_projected_F3inv_M1M2_L4.in,tolerance,1.0e-12,1e-12,PASS,no,none
configs/config_v31ze_projected_F3inv_M1M2_L4.in,parity,-1,-1,PASS,no,none
configs/config_v31ze_projected_F3inv_M1M2_L4.in,eig_tol,0.05,0.05,PASS,no,none
configs/config_v31ze_projected_F3inv_M1M2_L4.in,norm_tol,1.0e-12,1e-12,PASS,no,none
configs/config_v31ze_projected_F3inv_M1M2_L4.in,proj_tol,1.0e-10,1e-10,PASS,no,none
configs/config_v31ze_projected_F3inv_M1M2_L4.in,waves_vec_1,0,0 1,FAIL,no,leave archival/test config unchanged
configs/config_v31ze_projected_F3inv_M1M2_L4.in,waves_vec_2,0,0,PASS,no,none
configs/config_v31ze_projected_F3inv_M1M2_L4.in,scatter1_00,0.01,4.04,FAIL,no,leave archival/test config unchanged
configs/config_v31ze_projected_F3inv_M1M2_L4.in,scatter1_10,<missing>,-43.2,FAIL,no,leave archival/test config unchanged
configs/config_v31ze_projected_F3inv_M1M2_L4.in,scatter2_00,0.01,4.12,FAIL,no,leave archival/test config unchanged
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,xi,1.0,3.444,FAIL,no,leave archival/test config unchanged
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,atmK,1.0,0.09698,FAIL,no,leave archival/test config unchanged
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,atmpi,0.5,0.06906,FAIL,no,leave archival/test config unchanged
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,eta_1,1.0,1.0,PASS,no,none
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,eta_2,0.5,0.5,PASS,no,none
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,alpha,0.5,0.5,PASS,no,none
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,epsilon_h,0.0,0.0,PASS,no,none
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,max_shell_num,20.0,20,PASS,no,none
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,tolerance,1.0e-12,1e-12,PASS,no,none
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,parity,-1,-1,PASS,no,none
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,eig_tol,0.05,0.05,PASS,no,none
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,norm_tol,1.0e-12,1e-12,PASS,no,none
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,proj_tol,1.0e-10,1e-10,PASS,no,none
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,waves_vec_1,0,0 1,FAIL,no,leave archival/test config unchanged
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,waves_vec_2,0,0,PASS,no,none
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,scatter1_00,0.01,4.04,FAIL,no,leave archival/test config unchanged
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,scatter1_10,<missing>,-43.2,FAIL,no,leave archival/test config unchanged
configs/config_v31zh_M1_1_M2_0p5_scatter001.in,scatter2_00,0.01,4.12,FAIL,no,leave archival/test config unchanged
configs/config_v31zh_M1_1_M2_0p5_scatter010.in,xi,1.0,3.444,FAIL,no,leave archival/test config unchanged
configs/config_v31zh_M1_1_M2_0p5_scatter010.in,atmK,1.0,0.09698,FAIL,no,leave archival/test config unchanged
configs/config_v31zh_M1_1_M2_0p5_scatter010.in,atmpi,0.5,0.06906,FAIL,no,leave archival/test config unchanged
configs/config_v31zh_M1_1_M2_0p5_scatter010.in,eta_1,1.0,1.0,PASS,no,none
configs/config_v31zh_M1_1_M2_0p5_scatter010.in,eta_2,0.5,0.5,PASS,no,none
configs/config_v31zh_M1_1_M2_0p5_scatter010.in,alpha,0.5,0.5,PASS,no,none
configs/config_v31zh_M1_1_M2_0p5_scatter010.in,epsilon_h,0.0,0.0,PASS,no,none
